AGNO;RBD;DGV_RBD;NOM_RBD;COD_REG_RBD;COD_PRO_RBD;COD_COM_RBD;NOM_COM_RBD;COD_DEPROV_RBD;NOM_DEPROV_RBD;COD_DEPE;COD_DEPE2;RURAL_RBD;ESTADO_ESTAB;CONVENIO_SEP;AÑO_INGRESO_SEP;CLASIFICACION_SEP;EE_GRATUITO;N_PRIO;N_PRIO_BEN;N_PREF;N_PREF_BEN;N_BEN
2019;9051;4;COLEGIO ANDREE ENGLISH SCHOOL;13;131;13113;LA REINA;133;SANTIAGO ORIENTE;4;3;0;1;0; ; ;0;7;0;5;0;0
2019;9053;0;COLEGIO TERESIANO ENRIQUE DE OSSO;13;131;13113;LA REINA;133;SANTIAGO ORIENTE;4;3;0;1;0; ; ;0;11;0;20;0;0
2019;9054;9;COLEGIO SAINT JOHN´S VILLA ACADEMY;13;131;13113;LA REINA;133;SANTIAGO ORIENTE;4;3;0;1;0; ; ;0;8;0;8;0;0
2019;9058;1;INSTITUTO SUPERIOR DE COMERCIO DIEGO PORT;13;131;13120;ÑUÑOA;133;SANTIAGO ORIENTE;5;4;0;1;0; ; ;1;392;0;250;0;0
2019;9060;3;LICEO POLITECNICO PEDRO DE VALDIVIA;13;131;13120;ÑUÑOA;133;SANTIAGO ORIENTE;5;4;0;1;0; ; ;1;196;0;109;0;0
2019;9061;1;LICEO POLITECNICO A N° 60 PRESIDENTE MANUEL MONTT;13;131;13120;ÑUÑOA;133;SANTIAGO ORIENTE;5;4;0;1;0; ; ;1;165;0;104;0;0
2019;9063;8;LICEO INDUSTRIAL CHILENO-ALEMAN DE ÑUÑOA;13;131;13120;ÑUÑOA;133;SANTIAGO ORIENTE;5;4;0;1;0; ; ;1;372;0;384;0;0
2019;9064;6;LICEO TECNICO B NÕ 58 JOSE MARIA NARBONA;13;131;13120;ÑUÑOA;133;SANTIAGO ORIENTE;5;4;0;1;0; ; ;1;206;0;142;0;0
2019;9065;4;LICEO COMERCIAL GABRIEL GONZALEZ VIDELA;13;131;13120;ÑUÑOA;133;SANTIAGO ORIENTE;5;4;0;1;0; ; ;1;217;0;146;0;0
2019;9069;7;LICEO POLIVALENTE MERCEDES MARIN DEL SOLAR;13;131;13118;MACUL;133;SANTIAGO ORIENTE;3;2;0;1;1;2009;RECUPERACION;1;249;249;101;101;350
2019;9070;0;ESCUELA BENJAMIN CLARO VELASCO;13;131;13120;ÑUÑOA;133;SANTIAGO ORIENTE;1;1;0;1;1;2011;EMERGENTE;1;194;194;158;158;352
2019;9071;9;LICEO AUGUSTO D HALMAR;13;131;13120;ÑUÑOA;133;SANTIAGO ORIENTE;1;1;0;1;1;2013;AUTONOMA;0;130;130;194;0;130
2019;9072;7;LICEO VILLA MACUL ACADEMIA EX LICEO JUANA DE IBARBOUROU A 48;13;131;13118;MACUL;133;SANTIAGO ORIENTE;1;1;0;1;1;2012;EMERGENTE;1;192;192;195;195;387
2019;9073;5;LICEO CARMELA SILVA DONOSO;13;131;13120;ÑUÑOA;133;SANTIAGO ORIENTE;1;1;0;1;1;2013;AUTONOMA;0;357;357;405;0;357
2019;9074;3;LICEO JOSE TORIBIO MEDINA;13;131;13120;ÑUÑOA;133;SANTIAGO ORIENTE;1;1;0;1;1;2013;EMERGENTE;1;409;409;538;538;947
2019;9075;1;COMPLEJO EDUC. JOAQUIN EDWARDS BELLO.;13;131;13118;MACUL;133;SANTIAGO ORIENTE;1;1;0;1;1;2013;EMERGENTE;1;123;123;69;69;192
2019;9077;8;COMPLEJO EDUC.MUN. BRIGIDA WALKER.;13;131;13120;ÑUÑOA;133;SANTIAGO ORIENTE;1;1;0;1;1;2013;EMERGENTE;1;195;195;153;153;348
2019;9078;6;LICEO LENKA FRANULIC;13;131;13120;ÑUÑOA;133;SANTIAGO ORIENTE;1;1;0;1;1;2011;AUTONOMA;1;205;205;289;289;494
2019;9082;4;COL TEC PROFESIONAL REPUBLICA ARGENTINA;13;131;13120;ÑUÑOA;133;SANTIAGO ORIENTE;1;1;0;1;1;2013;EMERGENTE;1;236;236;205;205;441
2019;9083;2;ESCUELA DIFERENCIAL MUNICIPAL AMAPOLAS;13;131;13120;ÑUÑOA;133;SANTIAGO ORIENTE;1;1;0;1;0; ; ;1;27;0;30;0;0
2019;9084;0;ESC.PRESIDENTE EDUARDO FREI MONTALVA;13;131;13120;ÑUÑOA;133;SANTIAGO ORIENTE;1;1;0;1;1;2011;EMERGENTE;1;228;228;269;269;497
2019;9085;9;ESCUELA JOSE BERNARDO SUAREZ;13;131;13118;MACUL;133;SANTIAGO ORIENTE;1;1;0;1;1;2008;RECUPERACION;1;171;171;131;131;302
2019;9086;7;ESCUELA AURORA DE CHILE;13;131;13120;ÑUÑOA;133;SANTIAGO ORIENTE;1;1;0;1;0; ; ;1;33;0;24;0;0
2019;9087;5;CENTRO EDUC. VALLE HERMOSO;13;131;13122;PEÑALOLÉN;133;SANTIAGO ORIENTE;1;1;0;1;1;2008;EMERGENTE;1;434;434;182;182;616
2019;9088;3;LICEO ANTONIO HERMIDA FABRES;13;131;13122;PEÑALOLÉN;133;SANTIAGO ORIENTE;1;1;0;1;1;2008;EMERGENTE;1;869;869;302;302;1171
2019;9089;1;ESCUELA BÁSICA JOSÉ TORIBIO MEDINA;13;131;13120;ÑUÑOA;133;SANTIAGO ORIENTE;1;1;0;1;1;2011;EMERGENTE;1;192;192;220;220;412
2019;9090;5;ESCUELA BAS. CENTRO EDUCACIONAL MILLANTU;13;131;13118;MACUL;133;SANTIAGO ORIENTE;1;1;0;1;1;2008;EMERGENTE;1;126;126;47;47;173
2019;9091;3;ESCUELA REPUBLICA DE FRANCIA;13;131;13120;ÑUÑOA;133;SANTIAGO ORIENTE;1;1;0;1;1;2011;EMERGENTE;1;113;113;95;95;208
2019;9097;2;ESCUELA REPUBLICA DE COSTA RICA;13;131;13120;ÑUÑOA;133;SANTIAGO ORIENTE;1;1;0;1;1;2011;EMERGENTE;1;144;144;167;167;311
2019;9098;0;LICEO JUAN BAUTISTA PASTEN;13;131;13122;PEÑALOLÉN;133;SANTIAGO ORIENTE;1;1;0;1;1;2008;RECUPERACION;1;377;322;131;114;436
2019;9100;6;LICEO REPUBLICA DE SIRIA;13;131;13120;ÑUÑOA;133;SANTIAGO ORIENTE;1;1;0;1;1;2011;AUTONOMA;1;284;284;527;527;811
2019;9102;2;ESCUELA GUILLERMO ZANARTU IRIGOYEN;13;131;13120;ÑUÑOA;133;SANTIAGO ORIENTE;1;1;0;1;1;2011;EMERGENTE;1;189;189;169;169;358
2019;9103;0;ESCUELA UNION NACIONAL ARABE;13;131;13122;PEÑALOLÉN;133;SANTIAGO ORIENTE;1;1;0;1;1;2008;EMERGENTE;1;255;255;149;149;404
2019;9104;9;ESCUELA VILLA MACUL;13;131;13118;MACUL;133;SANTIAGO ORIENTE;1;1;0;1;1;2008;EMERGENTE;1;312;312;218;218;530
2019;9105;7;CENTRO EDUCACIONAL EDUARDO DE LA BARRA;13;131;13122;PEÑALOLÉN;133;SANTIAGO ORIENTE;1;1;0;1;1;2008;EMERGENTE;1;470;470;114;114;584
2019;9106;5;CENTRO EDUCACION MARIANO EGANA;13;131;13122;PEÑALOLÉN;133;SANTIAGO ORIENTE;1;1;0;1;1;2008;EMERGENTE;1;658;658;286;286;944
2019;9107;3;LICEO ERASMO ESCALA ARRIAGADA;13;131;13122;PEÑALOLÉN;133;SANTIAGO ORIENTE;1;1;0;1;1;2008;EMERGENTE;1;22;22;13;13;35
2019;9110;3;ESCUELA CARLOS HERNANDEZ PENA;13;131;13122;PEÑALOLÉN;133;SANTIAGO ORIENTE;1;1;0;1;1;2008;EMERGENTE;1;213;213;77;77;290
2019;9111;1;ESCUELA LUIS ARRIETA CANAS;13;131;13122;PEÑALOLÉN;133;SANTIAGO ORIENTE;1;1;0;1;1;2008;EMERGENTE;1;244;244;75;75;319
2019;9116;2;LICEO MUNICIPALIZADO MANUEL ROJAS;13;131;13118;MACUL;133;SANTIAGO ORIENTE;1;1;0;1;1;2008;RECUPERACION;1;67;67;16;16;83
2019;9117;0;COLEGIO MATILDE HUICI NAVAS;13;131;13122;PEÑALOLÉN;133;SANTIAGO ORIENTE;1;1;0;1;1;2008;EMERGENTE;1;420;420;190;190;610
2019;9121;9;ESCUELA TOBALABA;13;131;13122;PEÑALOLÉN;133;SANTIAGO ORIENTE;1;1;0;1;1;2008;RECUPERACION;1;269;231;97;74;305
2019;9122;7;ESCUELA JULIO MONTT SALAMANCA;13;131;13118;MACUL;133;SANTIAGO ORIENTE;1;1;0;1;1;2008;EMERGENTE;1;230;230;93;93;323
2019;9125;1;ESCUELA BASICA;13;131;13118;MACUL;133;SANTIAGO ORIENTE;1;1;0;1;1;2008;EMERGENTE;1;350;350;237;237;587
2019;9127;8;COLEGIO LIKANKURA DE PEÑALOLÉN;13;131;13122;PEÑALOLÉN;133;SANTIAGO ORIENTE;1;1;0;1;1;2008;RECUPERACION;1;366;299;150;130;429
2019;9128;6;ESCUELA DE ED.DIFERENCIAL HELLEN KELLER;13;131;13120;ÑUÑOA;133;SANTIAGO ORIENTE;1;1;0;1;0; ; ;1;33;0;20;0;0
2019;9131;6;ESCUELA JUAN MOYA MORALES;13;131;13120;ÑUÑOA;133;SANTIAGO ORIENTE;1;1;0;1;1;2011;EMERGENTE;1;227;227;130;130;357
2019;9135;9;COLEGIO APOSTOL SAN PEDRO;13;131;13120;ÑUÑOA;133;SANTIAGO ORIENTE;4;3;0;1;0; ; ;0;13;0;19;0;0
2019;9137;5;ESCUELA PARTICULAR ESPECIAL CEINTRALE;13;131;13120;ÑUÑOA;133;SANTIAGO ORIENTE;3;2;0;1;0; ; ;1;6;0;10;0;0
2019;9140;5;ESCUELA PARTICULAR SANTA VICTORIA;13;131;13122;PEÑALOLÉN;133;SANTIAGO ORIENTE;3;2;0;1;1;2009;EMERGENTE;1;293;293;209;209;502
2019;9142;1;ESCUELA BASICA PARTICULAR LOS HUSARES;13;131;13118;MACUL;133;SANTIAGO ORIENTE;3;2;0;1;1;2008;EMERGENTE;1;107;107;63;63;170
2019;9144;8;ESCUELA BASICA MARTINEZ DE ROZAS;13;131;13122;PEÑALOLÉN;133;SANTIAGO ORIENTE;3;2;0;1;1;2008;EMERGENTE;1;345;345;154;154;499
2019;9145;6;ESCUELA PARTICULAR MANUEL ANTONIO MATTA;13;131;13120;ÑUÑOA;133;SANTIAGO ORIENTE;3;2;0;1;0; ; ;0;26;0;51;0;0
2019;9146;4;ESCUELA PARTICULAR CARMEN ARRIARAN;13;131;13120;ÑUÑOA;133;SANTIAGO ORIENTE;3;2;0;1;1;2017;EMERGENTE;0;125;125;174;0;125
2019;9147;2;COLEGIO PARTICULAR N 1 DE NUNOA;13;131;13120;ÑUÑOA;133;SANTIAGO ORIENTE;3;2;0;1;1;2009;EMERGENTE;1;373;373;216;216;589
2019;9150;2;ESCUELA PARTICULAR REGINA MUNDI;13;131;13118;MACUL;133;SANTIAGO ORIENTE;3;2;0;1;1;2008;EMERGENTE;1;406;406;266;266;672
2019;9151;0;COLEGIO SANTA MARGARITA DE ESCOCIA;13;131;13120;ÑUÑOA;133;SANTIAGO ORIENTE;3;2;0;1;1;2016;EMERGENTE;0;36;36;50;0;36
2019;9153;7;CENTRO DE CAPACITACIÓN LABORAL PARA DEFICIENTES MENTALES;13;131;13120;ÑUÑOA;133;SANTIAGO ORIENTE;3;2;0;1;0; ; ;1;12;0;6;0;0
2019;9156;1;ESCUELA BAS. RENACIMIENTO N_ 1;13;131;13120;ÑUÑOA;133;SANTIAGO ORIENTE;3;2;0;1;1;2019;EMERGENTE;1;13;13;9;9;22
2019;9158;8;COLEGIO PARTICULAR SAN FERNANDO;13;131;13122;PEÑALOLÉN;133;SANTIAGO ORIENTE;3;2;0;1;1;2008;EMERGENTE;1;860;860;710;710;1570
2019;9159;6;INST. POLITEC. PROF. GUILLERMO GONZALEZ HEINR;13;131;13120;ÑUÑOA;133;SANTIAGO ORIENTE;3;2;0;1;1;2013;EMERGENTE;0;284;284;160;0;284
2019;9162;6;ESCUELA PARTICULAR NUESTRA SRA.DEL PILAR;13;131;13118;MACUL;133;SANTIAGO ORIENTE;3;2;0;1;1;2008;EMERGENTE;1;271;271;277;277;548
2019;9164;2;LICEO POLITEC.PARTICULAR CARMEN ARRIARAN;13;131;13122;PEÑALOLÉN;133;SANTIAGO ORIENTE;3;2;0;1;1;2013;EMERGENTE;1;260;260;207;207;467
2019;9165;0;ESCUELA BAS. N_ 850 SANTA SOFIA;13;131;13122;PEÑALOLÉN;133;SANTIAGO ORIENTE;3;2;0;1;1;2008;EMERGENTE;1;197;197;75;75;272
2019;9168;5;COLEGIO LIBERTADOR SIMON BOLIVAR;13;131;13118;MACUL;133;SANTIAGO ORIENTE;3;2;0;1;1;2009;EMERGENTE;0;427;427;301;0;427
2019;9171;5;ESCUELA SAN JOSE OBRERO;13;131;13122;PEÑALOLÉN;133;SANTIAGO ORIENTE;3;2;0;1;1;2008;EMERGENTE;1;295;295;164;164;459
2019;9172;3;COLEGIO POLIV. ROCKET COLLEGE;13;131;13118;MACUL;133;SANTIAGO ORIENTE;3;2;0;1;1;2009;EMERGENTE;1;225;160;69;46;206
2019;9175;8;ESCUELA BASICA COLEGIO SANTA MARTA DE PENALOL;13;131;13122;PEÑALOLÉN;133;SANTIAGO ORIENTE;3;2;0;1;1;2008;EMERGENTE;1;125;125;35;35;160
2019;9177;4;LICEO COMERCIAL PARTICULAR ÑUÑOA;13;131;13120;ÑUÑOA;133;SANTIAGO ORIENTE;3;2;0;1;1;2017;EMERGENTE;0;109;109;95;0;109
2019;9179;0;COLEGIO SANTA MARTA;13;131;13120;ÑUÑOA;133;SANTIAGO ORIENTE;3;2;0;1;1;2016;EMERGENTE;0;136;136;219;0;136
2019;9182;0;COLEGIO POLIVALENTE YORK;13;131;13122;PEÑALOLÉN;133;SANTIAGO ORIENTE;3;2;0;1;1;2008;EMERGENTE;0;262;262;146;0;262
2019;9183;9;ESC.PARA SORDOS DR. OTTE GABLER;13;131;13129;SAN JOAQUÍN;131;SANTIAGO CENTRO;3;2;0;1;1;2019;EMERGENTE;1;37;11;38;12;23
2019;9184;7;COLEGIO PRECIOSA SANGRE;13;131;13120;ÑUÑOA;133;SANTIAGO ORIENTE;3;2;0;1;1;2014;EMERGENTE;0;90;90;114;0;90
